caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
11069,765,1.0321,61925.3735,"Pay rent","No","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","10 to 19","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",31,"25-34","30-44","Professional or Doctorate degree","Bachelor's degree or higher","Other, Non-Hispanic","Male","Yes",4,"A building with 2 or more apartments","$250,000 or more","Living with partner","Metro","West","Pacific","Rented for cash","ca",0,0,4,0,0,"Working as a paid employee"
11072,243,1.115,66901.2171,"Neither own nor pay rent","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Moderately confident","Self-employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, cashed out",25,"25-34","18-29","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","No",2,"A one-family house detached from any other house","$60,000 to $74,999","Never married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","md",0,0,2,0,0,"Not working disabled"
11073,170,.9507,57039.2247,"Neither own nor pay rent","No","iPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","20 or more","No","No","Yes","No","Yes",,"Not enough precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",19,"18-24","18-29","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Hispanic","Female","No",4,"A one-family house detached from any other house","$12,500 to $14,999","Never married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,1,2,0,1,"Not working looking for work"
11076,236,.9402,56413.9383,"Pay rent","No","AndroidPhone","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Can't pay some bills","No","Credit card","No","No","No","Student loan","No","Slightly confident","Slightly confident","Employed","None","3 to 5","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Applied for but not received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,"No",36,"35-44","30-44","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",1,"A building with 2 or more apartments","$12,500 to $14,999","Living with partner","Metro","South","West-South Central","Rented for cash","ar",0,0,1,0,0,"Working as a paid employee"
11077,400,.7872,47229.6875,"Own your home with a mortgage or a loan","No","ChromeBook","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Not at all confident","Not at all confident","Employed","None","3 to 5","Yes","No","Yes","No","Yes","No, do not expect to return to the same employer","About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income","No",77,"75+","60+","Associate degree","Some college","White, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$60,000 to $74,999","Widowed","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,1,0,0,"Working as a paid employee"
11079,618,1.5628,93770.1154,"Neither own nor pay rent","No","iPad","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",57,"55-64","45-59","11th grade","Less than high school","White, Non-Hispanic","Female","No",4,"A one-family house detached from any other house","$50,000 to $59,999","Widowed","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,4,0,0,"Not working looking for work"
11080,276,1.0588,63528.5354,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Self-employed","None","3 to 5","No","No","No","Yes","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, cashed out",57,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$250,000 or more","Married","Non-Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","ks",0,0,2,0,0,"Working as a paid employee"
11081,1044,.962,57718.0911,"Own your home with a mortgage or a loan","Yes","WinPC","Just getting by","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Slightly confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,78,"75+","60+","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$175,000 to $199,999","Widowed","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,3,0,1,"Not working retired"
11083,781,.5439,32633.5729,"Pay rent","No","AndroidPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",51,"45-54","45-59","Associate degree","Some college","Hispanic","Male","Yes",4,"A mobile home","$50,000 to $59,999","Married","Metro","South","West-South Central","Rented for cash","tx",0,0,2,0,2,"Not working looking for work"
11087,561,1.2173,73037.1134,"Neither own nor pay rent","No","AndroidPhone","Just getting by","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","3 to 5","Yes","Yes","Yes","No","Yes","No, do not expect to return to the same employer","About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive",,"No",28,"25-34","18-29","Some college, no degree","Some college","Hispanic","Male","No",9,"A one-family house detached from any other house","$85,000 to $99,999","Married","Non-Metro","West","Mountain","Occupied without payment of cash rent","id",1,1,6,0,1,"Working self-employed"
11088,223,.9469,56812.1877,"Neither own nor pay rent","No","iPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",22,"18-24","18-29","Some college, no degree","Some college","White, Non-Hispanic","Female","No",4,"A mobile home","$20,000 to $24,999","Never married","Metro","Midwest","East-North Central","Rented for cash","mi",0,0,4,0,0,"Working as a paid employee"
11091,133,.9866,59194.2381,"Own your home free and clear (without a mortgage or loan)","Yes","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Very confident","Very confident","Not employed, but looking for a job",,,"No","No","No","No","No",,,,"Somewhat lower",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,57,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",1,"A mobile home","$100,000 to $124,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,1,0,0,"Working self-employed"
11092,136,.96,57602.3215,"Pay rent","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","Some","6 to 9","No","No","No","No","No",,"Not enough precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",26,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A building with 2 or more apartments","$50,000 to $59,999","Living with partner","Metro","Northeast","Mid-Atlantic","Rented for cash","pa",0,0,2,0,0,"Working as a paid employee"
11095,270,.7247,43484.5147,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Temporarily laid off or furloughed",,,"Yes","No","No","No","No","Yes, employer provided definite return date","About the right amount of precautions",,"Somewhat lower",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",56,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$50,000 to $59,999","Married","Non-Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","ks",0,0,2,0,0,"Working as a paid employee"
11097,193,.7104,42621.1679,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","Some","3 to 5","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",61,"55-64","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$200,000 to $249,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,4,0,0,"Working as a paid employee"
11100,415,1.2834,77006.306,"Pay rent","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","None","No","No","No","No","Yes",,"About the right amount of precautions","Cause you to work more","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",32,"25-34","30-44","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$175,000 to $199,999","Married","Metro","West","Pacific","Rented for cash","ca",0,0,2,0,0,"Working as a paid employee"
11102,201,.9085,54507.4258,"Own your home with a mortgage or a loan","Yes","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,66,"65-74","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Female","Yes",1,"A one-family house attached to one or more houses","$15,000 to $19,999","Divorced","Metro","South","West-South Central","Owned or being bought by you or someone in your household","ok",0,0,1,0,0,"Not working retired"
11109,167,2.2157,132940.799,"Neither own nor pay rent","No","iPhone","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","None","No","No","No","No","No",,"Not enough precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",26,"25-34","18-29","Associate degree","Some college","Hispanic","Female","No",3,"A one-family house detached from any other house","$60,000 to $74,999","Never married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,3,0,0,"Working as a paid employee"
11116,257,.9158,54949.0099,"Own your home with a mortgage or a loan","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",46,"45-54","45-59","Professional or Doctorate degree","Bachelor's degree or higher","Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$150,000 to $174,999","Never married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,1,1,0,0,"Working as a paid employee"
11119,191,.9938,59630.4095,"Pay rent","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",27,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A building with 2 or more apartments","$85,000 to $99,999","Living with partner","Metro","Northeast","New England","Rented for cash","ma",0,0,2,0,0,"Working as a paid employee"
11124,485,.9375,56249.2036,"Pay rent","No","AndroidPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not working, but being paid my normal wages",,,"Yes","Refused","Refused","Refused","Refused","Yes, employer expressed this is temporary but did not provide a return date","About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"Refused","No","Received","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive","About the same","No",55,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Male","No",1,"A building with 2 or more apartments","$15,000 to $19,999","Never married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,0,1,0,0,"Working self-employed"
11128,220336,.7176,43055.3027,"Pay rent","Yes","iPad","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","Yes","No","No","No",,"About the right amount of precautions",,"Somewhat higher","No","No",,,"No","No","Did not apply for and did not receive","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,,70,"65-74","60+","Some college, no degree","Some college","Black, Non-Hispanic","Female","Yes",1,"A building with 2 or more apartments","$12,500 to $14,999","Divorced","Metro","South","South Atlantic","Rented for cash","dc",0,0,1,0,0,"Working self-employed"
11129,393,1.0192,61149.062,"Pay rent","No","AndroidPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Not at all confident","Not at all confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",41,"35-44","30-44","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","2+ Races, Non-Hispanic","Female","Yes",3,"A one-family house attached to one or more houses","$75,000 to $84,999","Married","Metro","Midwest","West-North Central","Rented for cash","mn",0,0,3,0,0,"Not working other"
11130,265,.7572,45428.9387,"Pay rent","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","Yes",,"Don't know","Very confident","No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",29,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A building with 2 or more apartments","$20,000 to $24,999","Never married","Metro","Midwest","West-North Central","Rented for cash","mn",0,0,1,0,0,"Working as a paid employee"
11140,836,.4864,29184.4143,"Pay rent","No","Mac","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Self-employed","All",,"No","No","No","No","No",,"Not enough precautions","Cause you to work less","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",24,"18-24","18-29","Bachelors degree","Bachelor's degree or higher","Other, Non-Hispanic","Female","Yes",2,"A building with 2 or more apartments","$7,500 to $9,999","Married","Metro","South","South Atlantic","Rented for cash","fl",0,0,2,0,0,"Working as a paid employee"
11141,157,1.0765,64591.7076,"Own your home with a mortgage or a loan","No","AndroidPhone","Finding it difficult to get by","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Moderately confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","About the right amount of precautions",,"Much lower","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is lower than prior income","No",42,"35-44","30-44","Masters degree","Bachelor's degree or higher","Other, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$125,000 to $149,999","Never married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,1,0,0,"Working as a paid employee"
11143,398,.9164,54985.1216,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","Yes",,"Too many precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",47,"45-54","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","2+ Races, Non-Hispanic","Male","Yes",6,"A one-family house detached from any other house","$125,000 to $149,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","or",0,1,4,0,1,"Working as a paid employee"
11144,324,1.6672,100028.78,"Pay rent","No","others","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","20 or more","No","No","Yes","Yes","No",,"Not enough precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",20,"18-24","18-29","Some college, no degree","Some college","White, Non-Hispanic","Male","No",3,"A building with 2 or more apartments","$250,000 or more","Never married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,1,2,0,0,"Working as a paid employee"
11146,588,1.2154,72921.3899,"Own your home with a mortgage or a loan","Yes","WinPC","Living comfortably","No","No","No","No","No","No","By selling something","No","Can't pay some bills","No","No","No","No","No","No","Other bills","Not at all confident","Not at all confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat higher","No","No",,,,"Yes","Did not apply for and did not receive","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,,76,"75+","60+","5th or 6th grade","Less than high school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$25,000 to $29,999","Married","Metro","Northeast","New England","Owned or being bought by you or someone in your household","ma",0,0,2,0,0,"Not working retired"
11150,259,1.0077,60461.7019,"Pay rent","Yes","WinPC","Just getting by","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,24,"18-24","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",3,"A building with 2 or more apartments","$75,000 to $84,999","Never married","Metro","West","Pacific","Rented for cash","wa",0,0,3,0,0,"Working as a paid employee"
11151,273,1.099,65942.2265,"Pay rent","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","Yes","No",,"Not enough precautions","Cause you to work less","Somewhat lower","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",29,"25-34","18-29","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A building with 2 or more apartments","$125,000 to $149,999","Married","Metro","Northeast","New England","Rented for cash","ma",0,0,2,0,0,"Working as a paid employee"
11155,261,.9779,58670.7909,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","10 to 19","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",34,"25-34","30-44","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$150,000 to $174,999","Married","Non-Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","il",1,0,2,1,0,"Working as a paid employee"
11157,142,1.2529,75170.6703,"Own your home free and clear (without a mortgage or loan)","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",58,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$150,000 to $174,999","Divorced","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","wi",0,0,2,0,0,"Working as a paid employee"
11161,198,1.0193,61156.0198,"Own your home with a mortgage or a loan","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","Some","None","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",30,"25-34","30-44","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$85,000 to $99,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","mi",0,0,2,0,0,"Working as a paid employee"
11165,133,1.013,60780.3159,"Pay rent","No","iPhone","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"Not enough precautions","Cause you to work more","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",29,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A one-family house detached from any other house","$85,000 to $99,999","Married","Metro","South","South Atlantic","Rented for cash","md",0,0,1,0,0,"Working as a paid employee"
11171,400,.7649,45895.731,"Own your home free and clear (without a mortgage or loan)","No","iPad","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Self-employed","None","1 to 2","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",77,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$60,000 to $74,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,2,0,0,"Working self-employed"
11172,161,1.099,65942.2265,"Pay rent","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",26,"25-34","18-29","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A building with 2 or more apartments","$100,000 to $124,999","Living with partner","Metro","Northeast","New England","Rented for cash","ct",0,0,2,0,0,"Working as a paid employee"
11176,322,.8208,49249.1167,"Pay rent","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","6 to 9","No","No","No","Yes","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",30,"25-34","30-44","Bachelors degree","Bachelor's degree or higher","Hispanic","Female","Yes",1,"A building with 2 or more apartments","$50,000 to $59,999","Never married","Metro","West","Pacific","Rented for cash","ca",0,0,1,0,0,"Working as a paid employee"
