GP19A9,German,English,Unit
2751 11 700,Gefrier- und Tiefkühlschränke mit einem Inhalt von 900 l oder weniger,Freezing and freezer cabinets with a content of 900 l or less,St
2751 12 000,Haushaltsgeschirrspülmaschinen,Household dishwashers,St
2751 13 000,"Maschinen zum Waschen von Wäsche und Wäschetrockner, mit einem Fassungsvermögen an Trockenwäsche von 10 kg oder weniger","Machines for washing the laundry and tumble dryer, with a capacity of dry wash of 10 kg or less",St
2751 14 000,Decken aus Gewebe mit elektrischer Heizvorrichtung,Ceilings made of fabric with an electrical heating device,St
2751 15 300,Ventilatoren mit eingebautem Elektromotor mit einer Leistung von 125 W oder weniger,Fans with built -in electric motor with an output of 125 W or less,St
2751 15 800,Abzugshauben mit einer größten horizontalen Seitenlänge von 120 cm oder weniger,Haude with a largest horizontal side length of 120 cm or less,St
2751 21 230,"Staubsauger, mit einer Leistung von 1500 W oder weniger und mit einem Fassungsvermögen des Staubbehälters von 20 l oder weniger","Vacuum cleaner, with an output of 1500 W or less and with a capacity of the dust container of 20 l or less",St
2751 21 250,Andere Staubsauger,Other vacuum cleaners,St
2751 21 700,Lebensmittelzerkleinerungs- und -mischgeräte (Küchenmaschinen); Frucht- und Gemüsepressen,Food reduction and mixing devices (kitchen machines); Fruit and vegetable presses,St
2751 21 900,"Andere elektromechanische Haushaltsgeräte (z.B. Schneidemaschinen), a.n.g.","Other electromechanical household appliances (e.g. cutting machines), A.N.G.",St
2751 22 000,"Elektrische Rasierapparate, Haarschneide- und Schermaschinen sowie Haarentferner (Epilatoren)","Electric shaving apparatus, hair cutting and scraping machines as well as hair remover (epilators)",St
2751 23 100,Elektrische Haartrockner,Electric hair dryer,St
2751 23 300,Andere Elektrowärmegeräte zur Haarpflege,Other electric power devices for hair care,St
2751 23 500,Elektrische Händetrockner,Electrical hands dryer,St
2751 23 700,Elektrische Bügeleisen,Electric iron,St
2751 24 100,"Staubsauger, einschl. Trocken- und Nasssauger (ohne eingebautem Elektromotor)","Vacuum cleaner, including dry and wet vacuum cleaners (without built-in electric motor)",St
2751 24 300,Kaffee- und Teemaschinen,Coffee and tea machines,St
2751 24 500,Brotröster (Toaster),Bread roaster (toaster),St
2751 24 900,"Andere Elektrowärmegeräte für den Haushalt, a.n.g.","Other electric power devices for the household, A.N.G.",St
2751 25 300,Durchlauferhitzer,Water heater,St
2751 25 600,"Andere elektrische Warmwasserbereiter, a.n.g.","Other electrical hot water leaders, A.N.G.",St
2751 26 300,Elektrische Speicherheizgeräte,Electrical storage heaters,St
2751 26 500,"Elektrische Radiatoren mit Flüssigkeitsumlauf, Konvektoren, elektrische Heizgeräte mit eingebautem Ventilator","Electrical radiators with fluid circulation, convectors, electrical heating devices with built -in fan",St
2751 26 900,Andere elektrische Heizgeräte,Other electrical heating devices,St
2751 27 000,Mikrowellengeräte,Microwave devices,St
2751 28 100,Elektrische Vollherde,Electrical focal herd,St
2751 28 300,Elektrische Einzel- oder Mehrfachkochplatten und Kochmulden,Electrical single or multiple cooking panels and cooking blows,St
2751 28 500,Elektrische Grillgeräte und Bratgeräte,Electric grill devices and fried devices,St
2751 28 700,Elektrische Einbau-Backöfen,Electric installation ovens,St
2751 28 900,Andere elektrische Öfen,Other electrical stoves,St
2751 29 000,Elektrische Heizwiderstände,Electrical heating resistors,kg
2751 30 100,für Staubsauger,For vacuum cleaners,EUR
2751 30 300,für elektromechanische Haushaltsgeräte,For electromechanical household appliances,EUR
2751 30 500,"für elektrische Rasierapparate, Haarschneide- und Schermaschinen","For electrical razor devices, hair cutting and scraping machines",EUR
2751 30 700,"für Warmwasserbereiter, Elektrowärmegeräte für den Haushalt und für gewerbliche Zwecke","For hot water operators, electric power devices for household and for commercial purposes",EUR
2752 11 130,Gas-Einbauherde und -backöfen,Gas built -in and baked ovens,St
2752 11 150,Andere Kochgeräte u.ä. Geräte für Feuerung mit gasförmigen Brennstoffen (oder mit Gas u.a.),"Other cooking devices, etc. Devices for fire with gaseous fuels (or with gas, etc.)",St
2752 11 900,"Back-, Koch- u.ä. Geräte für Feuerung mit anderen Brennstoffen, aus Eisen oder Stahl sowie Koch- und Heizgeräte, aus Kupfer","Back, cook and the like Devices for fire with other fuels, iron or steel as well as cooking and heating devices, made of copper",St
2752 12 340,Heizgeräte u.ä. nicht elektrische Haushaltsgeräte für Feuerung mit gasförmigen Brennstoffen oder mit Gas und anderen Brennstoffen,Heating devices etc. non -electrical household appliances for firing with gaseous fuels or with gas and other fuels,St
2752 12 500,Heizgeräte u.ä. nicht elektrische Haushaltsgeräte für Feuerung mit flüssigen Brennstoffen,Heating devices etc. non -electrical household appliances for firing with liquid fuels,St
2752 12 700,Heizgeräte u.ä. nicht elektrische Haushaltsgeräte für Feuerung mit festen Brennstoffen,Heating devices etc. non -electrical household appliances for firing with solid fuels,St
2752 13 000,"Nicht elektrische Heißlufterzeuger und -verteiler, mit motorbetriebenem Ventilator oder Gebläse, Teile dafür, aus Eisen oder Stahl, auch für gewerbliche Zwecke","Non -electrical hot air producers and distributors, with a motorized fan or blower, parts for it, made of iron or steel, also for commercial purposes",St
2752 14 005,mit Ölbeheizung oder für Feuerung mit festen Brennstoffen,with oil heating or for firing with solid fuels,St
2752 14 007,Solarkollektoren,Solar collectors,St
2752 14 008,mit sonstiger Beheizung (z.B. mit Gas),With other heating (e.g. with gas),St
2752 20 000,"Teile für Öfen, Kochgeräte, Warmhalteplatten u.ä. nicht elektrische Haushaltsgeräte, aus Eisen oder Stahl","Parts for stoves, cooking equipment, warm -hold plates, etc. non -electrical household appliances, made of iron or steel",EUR
2790 11 506,Rotierende elektrische Maschinen (Tachogeneratoren),Rotating electrical machines (tachogenerators),St
2790 11 508,"Andere elektrische Maschinen, Apparate und Geräte mit eigener Funktion, a.n.g. (z.B. Geräte mit Übersetzungs- oder Wörterbuchfunktion)","Other electrical machines, devices and devices with its own function, A.N.G. (e.g. devices with translation or dictionary function)",St
2790 12 300,Elektrische Isolatoren aus Stoffen aller Art (ohne Glas und Keramik),Electrical isolators from all kinds of fabrics (without glass and ceramics),kg
2790 12 800,"Isolierteile (ohne Keramik- u. Kunststoffteile) für elektrische Maschinen, Geräte oder Installationen; Isolierrohre und Verbindungsstücke, aus unedlen Metallen, mit Innenisolierung","Isolation parts (without ceramic and plastic parts) for electrical machines, devices or installations; Insulating pipes and connecting pieces, from base metals, with internal insulation",kg
2790 13 300,Elektroden für Öfen,Electrodes for stoves,kg
2790 13 500,Andere Elektroden (z.B. Elektroden für Elektrolyseanlagen),Other electrodes (e.g. electrodes for electrolysis systems),kg
2790 13 700,Kohlebürsten,Coal brushes,kg
2790 13 900,"Heizwiderstände u.a. Waren für elektrotechnische Zwecke, aus Grafit o.a. Kohlenstoff","Heating residues, among other things, were for electrical engineering purposes, from Grafit o.a. carbon",kg
2790 20 200,Anzeigetafeln mit Flüssigkristallanzeige (LCD),Display boards with liquid crystal display (LCD),St
2790 20 500,Anzeigetafeln mit Leuchtdiodenanzeige (LED),Scoreboard with a luminaire display (LED),St
2790 20 800,Andere Hör- und Sichtsignalgeräte,Other hearing and sight signal devices,St
2790 31 090,Lötkolben und Lötpistolen,Soldering iron and soldering pistols,St
2790 31 180,"Andere elektrische Maschinen, Apparate und Geräte zum Hart- oder Weichlöten","Other electrical machines, devices and devices for hard or soft soldering",St
2790 31 450,"Maschinen, Apparate und Geräte zum Widerstandsschweißen von Metallen","Machines, apparatus and devices for resistance welding of metals",St
2790 31 540,Automaten zum Lichtbogen- oder Plasmaschweißen von Metallen,ATMs for the arc or plas machine welding of metals,St
2790 31 630,"Andere Maschinen, Apparate und Geräte zum Lichtbogen- oder Plasmaschweißen von Metallen zum manuellen Schweißen, mit umhüllten Elektroden, bestehend aus Schweißköpfen oder Schweißzangen und Transformator, Stromrichter, Generator oder rotierendem Umformer","Other machines, apparatus and devices for the arc or plas machine welding of metals for manual welding, with enveloped electrodes, consisting of welding heads or welding tongs and transformer, transformer, generator or rotating converter",St
2790 31 723,Schutzgasschweißgeräte für das MIG/MAG-Verfahren,Protective gas welding devices for the MIG/MAG method,St
2790 31 729,"Andere Schutzgasschweißgeräte u.ä. (z.B. nach dem WIG-, UP-RES-Verfahren) zum Lichtbogen- oder Plasmaschweißen","Other protective gas welding devices etc. (e.g. according to the WIG, UP-rescue process) for arc or plas machine white",St
2790 31 810,"Andere Maschinen, Apparate und Geräte zum Schweißen von Metallen, auch solche zum Spritzen schmelzfähiger Metalle oder Hartmetalle","Other machines, apparatus and devices for welding metals, including those for injection melt -capable metals or hard metals",St
2790 31 911,"Maschinen, Apparate und Geräte zum Widerstandsschweißen von Kunststoffen","Machines, apparatus and devices for resistance welding of plastics",St
2790 31 913,für Kunststoffe,for plastics,St
2790 31 919,"Andere Maschinen u.ä., auch zum Schneiden verwendbar, elektrisch oder mit Laser, Ultraschall u.ä.","Other machines, etc., can also be used for cutting, electrical or with laser, ultrasound, etc.",St
2790 32 000,"Teile für elektrische Löt- und Schweißmaschinen, -apparate und –geräte; Teile für elektrische Maschinen, Apparate und Geräte zum Spritzen schmelzflüssiger Metalle oder Cermets","Parts for electrical soldering and welding machines, devices and devices; Parts for electrical machines, apparatus and devices for spraying melting -fluid metals or cermets",EUR
2790 33 300,"für elektrische Verkehrssignal-, -sicherungs-, -überwachungs- und -steuerungsgeräte für Schienenwege, Straßen, Binnenwasserstraßen, Parkplätze, Hafenanlagen u.ä.","For electrical traffic signal, protection, monitoring and control devices for railways, streets, inland waterways, parking spaces, port systems, etc.",EUR
2790 33 500,"für elektrische Hör- und Sichtsignalgeräte (Einbruchs- oder Diebstahlalarmanlagen, Feuermelder u.ä. Geräte; Anzeigetafeln)","For electrical listening and sight signal devices (burglary or theft alarm systems, fire alarms, etc. devices; scaming plates)",EUR
2790 33 700,"für elektrische Maschinen, Apparate und Geräte mit eigener Funktion","For electrical machines, devices and devices with its own function",EUR
2790 33 900,"Andere elektrische Teile für Maschinen, Apparate oder Geräte, a.n.g.","Other electrical parts for machines, apparatus or devices, A.N.G.",EUR
2790 41 300,Gleichrichter,Rectifier,St
2790 41 400,"Stromversorgungseinheiten für Telekommunikationsgeräte, automatische Datenverarbeitungsmaschinen und ihre Bausteine","Power supply units for telecommunications devices, automatic data processing machines and their building blocks",St
2790 41 531,"mit einer Leistung von 7,5 kVA oder weniger für Photovoltaikanlagen",With an output of 7.5 kVA or less for photovoltaic systems,St
2790 41 539,"andere Wechselrichter mit einer Leistung von 7,5 kVA oder weniger",other inverter with an output of 7.5 kva or less,St
2790 41 551,"mit einer Leistung von mehr als 7,5 kVA für Photovoltaikanlagen",With an output of more than 7.5 kVA for photovoltaic systems,St
2790 41 559,"andere Wechselrichter mit einer Leistung von mehr als 7,5 kVA",other inverter with an output of more than 7.5 kva,St
2790 41 703,"Netzgeräte, Schaltnetzteile","Network devices, switching power supplies",St
2790 41 709,Andere Stromrichter (z.B. Schweißstromrichter) (ohne Schweißausrüstung),Other converters (e.g. welding power judge) (without welding equipment),St
2790 41 900,Teile für Stromrichter (ohne solche für zusammengesetzte elektronische Schaltungen (Baugruppen) für Stromrichter von der mit Telekommunikationsgeräten oder automatischen Datenverarbeitungsmaschinen und ihren Einheiten verwendeten Art),Parts for transformers (without such electronic circuits (assemblies) for converters from the type used with telecommunications devices or automatic data processing machines and their units),EUR
2790 42 000,Brennstoffzellen,Fuel cells,St
2790 43 000,"Überspannungsableiter, für eine Spannung von mehr als 1 000 V","Supplementary discount, for a tension of more than 1,000 V",St
2790 44 001,"für die Fernmeldetechnik, für eine Spannung von 80 V oder weniger","For telecommunications technology, for a voltage of 80 V or less",t
2790 44 002,"für andere Zwecke, für eine Spannung von 80 V oder weniger (z.B. Daten- und Steuerkabel)","for other purposes, for a voltage of 80 V or less (e.g. data and control cables)",t
2790 44 004,für eine Spannung von 1 000 V,"For a voltage of 1,000 V",t
2790 44 005,für eine Spannung von mehr als 80 V bis unter 1 000 V,"For a voltage of more than 80 V to less than 1,000 V",t
2790 45 100,Teilchenbeschleuniger,Particle accelerator,kg
2790 45 300,Signalgeneratoren,Signal generators,kg
2790 45 500,Elektromagnetische Kupplungen und Bremsen,Electromagnetic couplings and brakes,St
2790 45 600,Elektromagnetische Hebeköpfe; andere elektromagnetische Vorrichtungen und Teile dafür,Electromagnetic lifting heads; other electromagnetic devices and parts for it,kg
2790 45 700,"Sonnenbänke, Sonnenhimmel u.ä. Bräunungsgeräte","Sunbars, sun sky and the like. Browning devices",St
2790 51 000,"Festkondensatoren für Ströme mit 50/60 Hz, mit einer Blindleistung von 0,5 kVar oder mehr (Leistungskondensatoren)","Fixed capacitors for streams with 50/60 Hz, with a blind power of 0.5 kvar or more (performance capacitors))",St
2790 52 200,Tantalkondensatoren; Aluminium-Elektrolytkondensatoren,Tantalic capacitors; Aluminum electrolytic capacitors,1000 St
2790 52 400,"Andere Festkondensatoren, a.n.g.","Other capacitors, A.N.G.",1000 St
2790 53 000,Drehkondensatoren u.a. einstellbare Kondensatoren,Turn capacitors including adjustable capacitors,1000 St
2790 60 350,für eine Leistung von 20 W oder weniger,For an output of 20 W or less,1000 St
2790 60 370,für eine Leistung von mehr als 20 W,For an output of more than 20 W,1000 St
2790 60 550,für eine Leistung von 20 W oder weniger,For an output of 20 W or less,1000 St
2790 60 570,für eine Leistung von mehr als 20 W,For an output of more than 20 W,1000 St
2790 60 800,Kohlemasse- und Kohleschichtfestwiderstände; andere Stellwiderstände (einschl. Rheostaten und Potentiometern),Cabbage and coal stipulation resistances; Other stands (including rheostats and potentiometers),1000 St
2790 70 100,"Elektrische Verkehrssignal-, -sicherungs-, -überwachungs- und -steuerungsgeräte für Schienenwege u.dgl.","Electrical traffic signal, protection, monitoring and control devices for railways etc.",EUR
2790 70 300,"Elektrische Verkehrssignal-, -sicherungs-, -überwachungs- und -steuerungsgeräte für Straßen, Binnenwasserstraßen, Parkplätze, Hafenanlagen u.ä.","Electrical traffic signal, protection, monitoring and control devices for roads, inland waterways, parking spaces, port systems, etc.",St
2790 81 000,Teile für elektrische Kondensatoren,Parts for electrical capacitors,EUR
2790 82 000,"Teile für elektrische Widerstände, Rheostate und Potentiometer","Parts for electrical resistance, rheostate and potentiometers",EUR
2799 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
2811 11 000,"Außenbordmotoren mit Fremdzündung, für Wasserfahrzeuge","Outboard engines with external ignition, for watercraft",kW + St
2811 12 000,"Andere Antriebsmotoren mit Fremdzündung, für Wasserfahrzeuge u.a. Zwecke (ohne solche für Luft- und Kraftfahrzeuge)","Other drive engines with external ignition, for water vehicles, among other things, purposes (without those for air and motor vehicles)",kW + St
2811 13 100,Kolbenverbrennungsmotoren mit Selbstzündung (Diesel- oder Halbdieselmotoren) für Acker- und Forstschlepper auf Rädern,Piston burning engines with self-inflammation (diesel or semi-diesel engines) for arable and forest tractors on wheels,kW + St
2811 13 110,Dieselmotoren für Wasserfahrzeuge mit einer Leistung von 200 kW oder weniger,Diesel engines for water vehicles with an output of 200 kW or less,kW + St
2811 13 150,mit einer Leistung von mehr als 200 kW bis 1 000 kW,"With an output of more than 200 kW to 1,000 kW",kW + St
2811 13 190,mit einer Leistung von mehr als 1 000 kW,"With an output of more than 1,000 kW",kW + St
2811 13 200,Dieselmotoren für Schienenfahrzeuge,Diesel engines for rail vehicles,kW + St
2811 13 310,mit einer Leistung von 15 kW oder weniger,With an output of 15 kW or less,kW + St
2811 13 330,mit einer Leistung von mehr als 15 kW bis 30 kW,With an output of more than 15 kW to 30 kW,kW + St
2811 13 350,mit einer Leistung von mehr als 30 kW bis 50 kW,With an output of more than 30 kW to 50 kW,kW + St
2811 13 370,mit einer Leistung von mehr als 50 kW bis 100 kW,With an output of more than 50 kW to 100 kW,kW + St
2811 13 530,mit einer Leistung von mehr als 100 kW bis 200 kW,With an output of more than 100 kW to 200 kW,kW + St
2811 13 550,mit einer Leistung von mehr als 200 kW bis 300 kW,With an output of more than 200 kW to 300 kW,kW + St
2811 13 570,mit einer Leistung von mehr als 300 kW bis 500 kW,With an output of more than 300 kW to 500 kW,kW + St
2811 13 730,mit einer Leistung von mehr als 500 kW bis 1 000 kW,"With an output of more than 500 kW to 1,000 kW",kW + St
2811 13 750,mit einer Leistung von mehr als 1 000 kW,"With an output of more than 1,000 kW",kW + St
2811 21 603,Dampfturbinen (ohne solche für den Antrieb von elektrischen Generatoren),Steam turbines (without such for the drive of electrical generators),kW + St
2811 21 605,Wasserdampfturbinen für den Antrieb von elektrischen Generatoren,Water vapor turbines for the drive of electrical generators,kW + St
2811 22 000,Wasserturbinen und -räder,Water turbines and wheels,kW + St
2811 23 000,Gasturbinen (ohne Turbo-Strahltrieb- und Turbo-Propellertriebwerke),Gas turbines (without turbo jet and turbo propeller engines),kW + St
2811 24 000,Windgetriebene Stromerzeugungsaggregate (Windturbinen),Wind -driven power generation units (wind turbines),St
2811 31 000,Teile für Dampfturbinen,Parts for steam turbines,EUR
2811 32 000,Teile und Regler für Wasserturbinen und -räder,Parts and controllers for water turbines and wheels,EUR
2811 33 000,Teile für Gasturbinen (ohne solche für Turbo-Strahltrieb- und Turbo-Propellertriebwerke),Parts for gas turbines (without such for Turbo jet and turbo propeller engines),EUR
2811 41 001,"Zylinderblöcke, Zylinder, Zylindermäntel, Zylinderköpfe","Cylinder blocks, cylinders, cylinder coats, cylinder heads",kg
2811 41 004,"Stangen, Kolben, Ringe","Sticks, pistons, rings",kg
2811 41 007,"Vergaser, Einspritzungssysteme","Carburetor, injection systems",kg
2811 41 009,"Andere Teile für Motoren für Wasserfahrzeuge, Schienenfahrzeuge, industrielle u.a. Zwecke, z.B.","Other parts for motors for water vehicles, rail vehicles, industrialists, etc. purposes, e.g.",EUR
2811 42 001,"Stangen, Kolben, Ringe","Sticks, pistons, rings",kg
2811 42 005,Einspritzungssysteme für Kraftfahrzeuge,Injection systems for motor vehicles,kg
2811 42 007,Andere Einspritzungssysteme,Other injection systems,kg
2811 42 008,"Andere Teile für Motoren für Wasserfahrzeuge, Schienenfahrzeuge, industrielle u.a. Zwecke","Other parts for engines for water vehicles, rail vehicles, industrialists, etc. purposes",EUR
2812 11 300,Hydrozylinder,Hydrocylinder,St
2812 11 800,Druckluftmotoren (Pneumatikzylinder),Compressed air motors (pneumatic cylinder),St
2812 12 000,"Rotierende hydraulische und pneumatische Motoren, andere Motoren (z.B. Wasser- und Dampfkraftmaschinen), a.n.g","Rotating hydraulic and pneumatic engines, other engines (e.g. water and steam power machines), A.N.G",St
2812 13 203,Axialkolbenpumpen,Axial piston pumps,St
2812 13 208,Andere Hydrokolbenpumpen (z.B. Radialkolbenpumpen),Other hydrocol pumps (e.g. radial piston pumps),St
2812 13 500,Zahnrad-Hydropumpen,Gear,St
2812 13 800,Flügelzellen-Hydropumpen,Wing cell hydropics,St
2812 14 200,"Druckminderventile, kombiniert mit Filtern oder Ölern (Druckluftwartungseinheiten)","Printing valves, combined with filters or oilers (compressed air maintenance units)",kg
2812 14 500,Hydroventile,Hydroventile,kg
2812 14 800,Pneumatikventile,Pneumatic valves,kg
2812 15 300,mit oszillierenden Verdrängerpumpen,With oscillating displacement pumps,St
2812 15 800,mit rotierenden Verdrängerpumpen,With rotating displacement pumps,St
2812 16 300,Hydrosysteme mit Hydrozylindern,Hydrosystems with hydrocylinders,St
2812 16 800,Hydrosysteme mit Hydromotoren,Hydrosystems with hydromotors,St
2812 20 003,für pneumatische Antriebe (Zylinder und Motoren),For pneumatic drives (cylinders and engines),EUR
2812 20 007,"für hydraulische Antriebe (Zylinder und Motoren) sowie für Wasser- und Dampfkraftmaschinen, Strahltriebwerke, andere Motoren, a.n.g. (ohne solche für pneumatische und hydraulische Antriebe)","For hydraulic drives (cylinders and engines) as well as for water and steam power machines, jet engines, other engines, A.N.G. (without such for pneumatic and hydraulic drives)",EUR
2813 11 050,"Ausgabepumpen für Kraftstoffe oder Schmiermittel, für Tankstellen und Kraftfahrzeugwerkstätten","Output pumps for fuels or lubricants, for petrol stations and motor vehicle workshops",St
2813 11 250,Andere Ausgabepumpen mit Flüssigkeitsmesser,Other output pumps with liquid meters,St
2813 11 450,Handpumpen (ohne Flüssigkeitsmesser),Hand pumps (without fluid knife),St
2813 11 650,"Kraftstoff-, Öl- oder Kühlmittelpumpen für Kolbenverbrennungsmotoren","Fuel, oil or coolant pumps for piston burning engines",St
2813 11 850,Betonpumpen,Concrete pumps,St
2813 12 200,Dosierpumpen,Dosing pumps,St
2813 12 500,Andere Kolbenpumpen,Other piston pumps,St
2813 12 800,Andere oszillierende Verdrängerpumpen,Other oscillating displacement pumps,St
2813 13 200,Andere Zahnradpumpen,Other gear pumps,St
2813 13 400,Andere Flügelzellenpumpen,Other wing cell pumps,St
2813 13 600,Schraubenspindelpumpen,Screw pumps,St
2813 13 803,Exzenterschneckenpumpen,Eccentric snail pumps,St
2813 13 809,Andere rotierende Verdrängerpumpen (ohne Exzenterschneckenpumpen),Other rotating displacement pumps (without eccentric snail pumps),St
2813 14 130,"Tauchmotorpumpen, einstufig","Diving engine pumps, one -time",St
2813 14 150,"Tauchmotorpumpen, mehrstufig","Diving engine pumps, multi -stage",St
2813 14 170,Umlaufbeschleuniger für Heizungs- und Heißwasseranlagen (ohne Wellenabdichtung),Circulating accelerator for heating and hot water systems (without wave seal),St
2813 14 200,Kreiselpumpen mit einer Nennweite des Austrittstutzens von 15 mm oder weniger,Circular pumps with a nominal size of the output protective of 15 mm or less,St
2813 14 300,Kanalradpumpen und Seitenkanalpumpen,Channel wheel pumps and side channel pumps,St
2813 14 510,"Radialkreiselpumpen, einströmig, in Blockbauweise","Radial circular pumps, single -stone, in block construction",St
2813 14 530,"Radialkreiselpumpen, einströmig, nicht in Blockbauweise","Radial circular pumps, single -streamed, not in a block construction",St
2813 14 550,"Radialkreiselpumpen, mehrströmig","Radial topics, multi -stone",St
2813 14 600,"Radialkreiselpumpen, mehrstufig","Radial topics, multi -stage",St
2813 14 710,einstufig,single,St
2813 14 750,mehrstufig,multi -stage,St
2813 14 800,Andere Flüssigkeitspumpen; Hebewerke für Flüssigkeiten,Other liquid pumps; Leaps for liquids,St
2813 21 700,"Drehschieber-, Sperrschieber-, Molekular- und Wälzkolbenpumpen, Diffusions-, Kryo- und Adsorptionspumpen","Sliding slide, barrier, molecular and rolling piston pumps, diffusion, cryo and adsorption pumps",St
2813 21 900,"Andere Vakuumpumpen (ohne Drehschieber-, Diffusionspumpen usw.)","Other vacuum pumps (without rotating slide, diffusion pumps, etc.)",St
2813 22 000,Hand- oder fußbetriebene Luftpumpen,Hand or foot-powered air pumps,St
2813 23 000,Kompressoren für Kältemaschinen,Compressors for cold machines,St
2813 24 000,Fahrbare Luftkompressoren,Mobile air compressors,St
2813 25 300,einstufig,single,St
2813 25 500,mehrstufig,multi -stage,St
2813 26 300,"zum Erzeugen eines Überdrucks von 15 bar oder weniger, mit einer Liefermenge je Stunde von 60 m³ oder weniger","To create an overpressure of 15 bar or less, with a delivery quantity per hour of 60 m³ or less",St
2813 26 500,"zum Erzeugen eines Überdrucks von 15 bar oder weniger, mit einer Liefermenge je Stunde von mehr als 60 m³","To create an overpressure of 15 bar or less, with a delivery quantity per hour of more than 60 m³",St
2813 26 700,"zum Erzeugen eines Überdrucks von mehr als 15 bar, mit einer Liefermenge je Stunde von 120 m³ oder weniger","To create an overpressure of more than 15 bar, with a delivery quantity per hour of 120 m³ or less",St
2813 26 900,"zum Erzeugen eines Überdrucks von mehr als 15 bar, mit einer Liefermenge je Stunde von mehr als 120 m³","To create an overpressure of more than 15 bar, with a delivery quantity per hour of more than 120 m³",St
2813 27 300,einwellig,uniform,St
2813 27 530,Schraubenkompressoren,Screw compressors,St
2813 27 550,Andere Verdrängerkompressoren,Other displacement compressors,St
2813 28 000,"Andere Luft- und Gaskompressoren, a.n.g.","Other air and gas compressors, A.N.G.",St
2813 31 001,für Hydropumpen,For hydropumps,EUR
2813 31 002,für andere rotierende Verdrängerpumpen,For other rotating displacement pumps,EUR
2813 31 003,für andere oszillierende Verdrängerpumpen,For other oscillating displacement pumps,EUR
2813 31 005,für andere Kreiselpumpen,For other roundabout pumps,EUR
2813 31 008,für andere Flüssigkeitspumpen und für Hebewerke für Flüssigkeiten,For other liquid pumps and for lifts for liquids,EUR
2813 32 002,für Ventilatoren,For fans,EUR
2813 32 005,für Kältekompressoren,For cold compressors,EUR
2813 32 009,"für andere Luft- und Vakuumpumpen, Luft- o.a. Gaskompressoren","for other air and vacuum pumps, air or others",EUR
2814 11 200,"aus Gusseisen oder Stahl, nicht kombiniert mit Filtern oder Ölern","made of cast iron or steel, not combined with filters or oilers",kg
2814 11 401,für die autogene Metallbearbeitung,For autogenic metal processing,kg
2814 11 409,andere Druckminderventile,Other pressure reduced valves,kg
2814 11 603,aus Eisen oder Stahl,Made of iron or steel,kg
2814 11 609,aus anderen Werkstoffen,From other materials,kg
2814 11 700,Ventile für Reifen oder Luftschläuche,Valves for tires or air hoses,kg
2814 11 804,aus Eisen oder Stahl,Made of iron or steel,kg
2814 11 808,aus anderen Werkstoffen,From other materials,kg
2814 12 331,Einhandmischer,One -hand mixer,kg
2814 12 333,Zweigriffmischer,Two -hand mixer,kg
2814 12 335,Thermostatarmaturen für den Sanitärbereich,ThermostatarMatures for the sanitary area,kg
2814 12 352,Elektrisch gesteuerte Selbstschlussarmaturen,Electrically controlled self -closing fittings,kg
2814 12 353,Brausen und Zubehör,Shooting and accessories,kg
2814 12 355,Eckventile,Corner valves,kg
2814 12 356,Spülarmaturen (ohne Spülkästen),Riner taps (without rinsing boxes),kg
2814 12 357,Geräteanschlussventile,Device connection valves,kg
2814 12 359,"Andere Sanitärarmaturen, a.n.g. (z.B. Ab- und Überlaufarmaturen, Stand- und Auslaufventile, mechanische Selbstschlussarmaturen)","Other sanitary fittings, A.N.G. (e.g. or overflow and overflow fittings, stand and outlet valves, mechanical self-blind fittings)",kg
2814 12 530,Thermostatventile,Thermostatic valves,kg
2814 12 550,Andere Armaturen für Heizkörper von Zentralheizungen (ohne Thermostatventile),Other fittings for radiators of central heating (without thermostatic valves),kg
2814 13 130,Temperaturregelventile,Temperature control valves,kg
2814 13 151,Stellventile,Rack valves,kg
2814 13 152,Stellhähne,Tap,kg
2814 13 154,Stellklappen,Tapper,kg
2814 13 157,Drehkegelventile,Rotary cone valves,kg
2814 13 159,"Regelventile, a.n.g.","Regular valves, A.N.G.",kg
2814 13 330,aus Gusseisen,Cast iron,kg
2814 13 350,aus Stahl,from steel,kg
2814 13 370,aus anderen Werkstoffen,From other materials,kg
2814 13 530,aus Gusseisen,Cast iron,kg
2814 13 550,aus Stahl,from steel,kg
2814 13 570,aus anderen Werkstoffen,From other materials,kg
2814 13 733,aus Gusseisen,Cast iron,kg
2814 13 735,aus Stahl,from steel,kg
2814 13 739,aus anderen Werkstoffen,From other materials,kg
2814 13 753,aus Gusseisen,Cast iron,kg
2814 13 755,aus Stahl,from steel,kg
2814 13 759,aus anderen Werkstoffen,From other materials,kg
2814 13 770,Membranarmaturen,Membran fittings,kg
2814 13 801,"Andere Sicherheitsarmaturen, a.n.g.","Other safety fittings, A.N.G.",kg
2814 13 802,"Andere Absperrarmaturen (ohne Hähne und Klappen) aus Gusseisen, a.n.g.","Other shut -off fittings (without cocks and flaps) made of cast iron, A.N.G.",kg
2814 13 803,"Andere Absperrarmaturen (ohne Hähne und Klappen) aus Stahl, a.n.g.","Other shut -off fittings (without cocks and flaps) made of steel, A.N.G.",kg
2814 13 804,"Andere Absperrarmaturen (ohne Hähne und Klappen) aus anderen Werkstoffen, a.n.g.","Other shut -off fittings (without cocks and flaps) from other materials, A.N.G.",kg
2814 13 805,Überwachungsarmaturen,Monitoring fittings,kg
